,Age,City,Profession,Marital Status,Education,No. of Family members,Annual Income,Would you prefer replacing all your vehicles to Electronic vehicles?,If Yes/Maybe what type of  EV would you prefer?,Do you think Electronic Vehicles are economical?,Which brand of vehicle do you currently own?,How much money could you spend on an Electronic vehicle?,Preference for wheels in EV,Do you think Electronic vehicles will replace fuel cars in India?
36,23,Pune,None,Single,Post Graduate,2,2797393.0327785253,Yes,SUV,Yes,Tata,<15 lakhs,2,"Yes, in <20years"
37,39,Faridabad ,None,Single,Graduate,4,2245048.875217138,Yes,Hatchback,Yes,Nissan,<25 lakhs,2,"Yes, possibly after 20 years"
38,30,Pune,Salaried,Single,Graduate,4,2555139.054865259,Maybe,SUV,Yes,Hyundai,<5 lakhs,4,"Yes, in <20years"
39,30,Nagpur,None,Married,Graduate,4,1556667.9395177162,Yes,Liftback,Maybe,Maruti,<15 lakhs,4,"Yes, in <10 years"
40,27,Pune,Working Professional,Single,Post Graduate,3,2266181.408117807,Yes,SUV,Yes,Tata,700000,2,"Yes, possibly after 20 years"
41,32,Chandrapur ,Business,Single,Graduate,3,1021130.3974229516,No,SUV,Yes,Tata,<25 lakhs,4,"Yes, in <20years"
42,31,Pune,None,Single,Graduate,5,2246042.8761358405,Yes,SUV,Maybe,Volkswagen,<15 lakhs,4,"Yes, in <10 years"
43,31,Pune,Working Professional,Single,Graduate,4,2431136.0739456858,Yes,Liftback,Maybe,Tata,<5 lakhs,3,"Yes, in <20years"
44,27,Pune,Business,Single,Graduate,8,2656002.9341846784,Yes,Sedan,Yes,Honda,>25 lakhs,4,"Yes, in <10 years"
45,26,Pune,Working Professional,Single,Graduate,5,1301816.0087843563,No,Hatchback,Maybe,Hyundai,<15 lakhs,4,"Yes, in <20years"
46,24,Pune,Salaried,Single,Graduate,5,2822555.6228798996,Maybe,SUV,Yes,MG,<5 lakhs,3,"Yes, possibly after 20 years"
47,40,Delhi,Working Professional,Single,Graduate,4,2509123.3331909706,Yes,SUV,No,Nissan,<5 lakhs,4,"Yes, in <20years"
48,28,Pune,None,Single,Graduate,6,1241141.3751658867,Yes,SUV,Yes,Honda,<15 lakhs,4,"Yes, in <10 years"
49,30,Pune,None,Single,Post Graduate,4,2786616.9158668574,Maybe,SUV,Yes,Nissan,<15 lakhs,2,"Yes, in <20years"
50,18,Haldwani ,Business,Married,Post Graduate,6,2862620.9647230157,Yes,Sedan,No,Tata,<15 lakhs,3,"Yes, in <10 years"
51,58,Pune,None,Single,Graduate,6,2546334.7686530557,No,SUV,No,Tata,<15 lakhs,4,"Yes, in <10 years"
52,30,Chennai,None,Single,Graduate,4,2472601.866281025,No,SUV,Yes,Hyundai,<15 lakhs,4,"Yes, in <20years"
53,29,Chennai,Working Professional,Married,Post Graduate,6,1279845.1596008544,Maybe,SUV,Maybe,Tata,<15 lakhs,4,I don't think so
54,22,Pune,Business,Single,Graduate,4,2419909.5608958155,Yes,SUV,Yes,Honda,<25 lakhs,2,"Yes, in <20years"
55,27,Gurugram ,None,Married,Post Graduate,4,1038262.1101987349,Yes,Sedan,Yes,Nissan,<5 lakhs,4,"Yes, possibly after 20 years"
56,24,Pune,None,Married,Graduate,5,334210.8417506771,Yes,SUV,Yes,Nissan,<15 lakhs,4,"Yes, in <10 years"
57,32,Pune,None,Single,Graduate,3,2630157.1135053057,No,SUV,Yes,Maruti ,<25 lakhs,4,"Yes, in <20years"
58,29,Nashik,Working Professional,Single,Graduate,6,1857651.2979146587,Yes,SUV,Yes,Hyundai,<25 lakhs,4,"Yes, in <20years"
59,30,Pune,Business,Married,Graduate,6,2917655.839118258,Yes,Sedan,Yes,Tata,<5 lakhs,3,"Yes, in <20years"
60,27,Bengaluru,Working Professional,Single,Graduate,4,1764432.5486558825,Maybe,Sedan,Yes,Chevrolet ,2000000,4,I don't think so
61,29,Pune,None,Single,Graduate,4,3031720.158445634,Yes,Liftback,Yes,Honda,<15 lakhs,4,"Yes, possibly after 20 years"
62,31,Bengaluru,None,Married,Post Graduate,4,1034431.2028311576,Yes,SUV,Yes,KIA,<15 lakhs,4,"Yes, possibly after 20 years"
63,28,Delhi,Business,Single,Graduate,0,1568994.988344112,Yes,Hatchback,No,Maruti Suzuki,<15 lakhs,4,I don't think so
64,96,Pune,Business,Married,Post Graduate,4,2760237.447635439,Yes,Sedan,Maybe,Tata,<15 lakhs,4,"Yes, in <10 years"
65,64,Kashipur ,Working Professional,Single,Post Graduate,5,1334749.3360143371,Yes,SUV,Yes,Nissan,<5 lakhs,4,I don't think so
66,22,Pune,None,Single,Graduate,5,3292567.6508701076,Maybe,Sedan,Yes,Nissan,<15 lakhs,3,"Yes, in <20years"
67,22,Mumbai ,None,Married,Post Graduate,4,2160756.5941016735,Maybe,SUV,No,Hyundai,<15 lakhs,2,"Yes, in <10 years"
68,23,Bengaluru,None,Married,Post Graduate,2,2607573.969638245,Yes,Sedan,Yes,Maruti Suzuki,<25 lakhs,2,"Yes, possibly after 20 years"
69,28,Mumbai,None,Single,Graduate,4,2684283.559253449,Yes,SUV,Yes,Hyundai,<5 lakhs,4,"Yes, in <20years"
70,30,Hakdwani,Working Professional,Married,Post Graduate,4,2950816.2547934186,Yes,SUV,Yes,KIA,<15 lakhs,4,"Yes, in <20years"
71,26,Pune,None,Single,Graduate,4,3368817.560916069,Yes,Liftback,Yes,MG,<5 lakhs,3,"Yes, possibly after 20 years"
72,21,Pune,Working Professional,Married,Graduate,3,2951324.298043725,Yes,SUV,Maybe,McLaren ,<5 lakhs,3,"Yes, in <20years"
73,24,Pune,Working Professional,Single,Graduate,8,1228969.0751456185,Yes,Liftback,Yes,KIA,<5 lakhs,4,"Yes, in <10 years"
74,58,Mumbai,None,Married,Post Graduate,4,2961765.911972433,Maybe,Cabrio,Yes,Volkswagen,1200000,4,"Yes, in <10 years"
75,26,Pune,None,Single,Post Graduate,4,2066742.98849328,Yes,SUV,Yes,KIA,<25 lakhs,4,"Yes, in <10 years"
76,27,Pune,Business,Single,Post Graduate,4,2697513.047416596,Yes,Liftback,Yes,Nissan,<15 lakhs,3,"Yes, in <20years"
77,29,Satara,Working Professional,Single,Graduate,5,2119336.0210594647,Yes,Sedan,Yes,Honda,<5 lakhs,4,"Yes, in <10 years"
78,21,Pune,Working Professional,Single,Graduate,6,2730199.5589104365,Maybe,Sedan,Yes,Maruti,<15 lakhs,4,"Yes, in <20years"
79,26,Pune,None,Married,Post Graduate,4,2662596.5659472733,Yes,SUV,Yes,Nissan,<15 lakhs,4,"Yes, in <10 years"
80,25,Delhi,None,Single,Graduate,1,2776677.6553436248,Yes,Sedan,Yes,Hyundai,<5 lakhs,2,"Yes, in <10 years"
81,25,Pune,None,Single,Graduate,0,2636995.708061152,Yes,SUV,Yes,Nexa,<15 lakhs,4,"Yes, in <20years"
82,25,Kashipur ,Working Professional,Single,Graduate,4,2205406.678150139,Yes,SUV,Yes,Nissan,<25 lakhs,4,"Yes, in <10 years"
83,52,Pune,Business,Married,Graduate,3,1092978.5597508773,No,SUV,Yes,Nissan,1200000,4,"Yes, in <20years"
84,23,Mumbai,Business,Married,Graduate,5,1362844.9101099363,Yes,Sedan,Maybe,Nissan,<25 lakhs,4,"Yes, in <20years"
85,58,Pune,Working Professional,Single,Graduate,8,2201016.663397493,No,SUV,Yes,Nissan,<5 lakhs,4,"Yes, in <20years"
86,25,Pune ,None,Married,Post Graduate,4,2983413.0763647915,Yes,Sedan,Yes,Honda,<15 lakhs,4,"Yes, in <10 years"
87,28,Nabha,Working Professional,Single,Graduate,4,2226587.4998654923,Yes,Liftback,No,Hyundai,<25 lakhs,2,"Yes, in <10 years"
88,29,Patiyala,Working Professional,Single,Graduate,5,1472811.9796611355,Maybe,Hatchback,Yes,Tata,<5 lakhs,4,I don't think so
89,30,Satara,None,Single,Graduate,5,1720061.4167368952,No,SUV,Yes,Honda,<5 lakhs,4,"Yes, in <10 years"
90,28,Pune,None,Single,Graduate,5,2139941.045451195,Yes,SUV,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
91,31,Pune,Working Professional,Married,Post Graduate,4,2834704.0405251533,No,SUV,Yes,Nissan,<15 lakhs,4,"Yes, in <20years"
92,28,pUNE,Working Professional,Single,Graduate,4,2159522.4967043777,Yes,Sedan,Yes,Audi,<15 lakhs,2,I don't think so
93,31,Pune,None,Single,Graduate,3,3249373.493300968,Yes,Hatchback,Maybe,McLaren ,<15 lakhs,4,"Yes, in <20years"
94,28,Pune,Business,Single,Post Graduate,6,3171643.9241334246,Yes,SUV,Yes,Hyundai,<15 lakhs,2,"Yes, possibly after 20 years"
95,25,Ahmedabad,None,Married,Graduate,4,1758297.2488677015,Yes,SUV,Yes,Tata,<15 lakhs,4,"Yes, in <10 years"
96,30,Pune,None,Single,Graduate,4,1197296.7972095013,Yes,SUV,Yes,Nissan,<15 lakhs,4,"Yes, in <20years"
97,28,Karnal,None,Single,Post Graduate,6,2335093.4397240006,No,Hatchback,Yes,Honda,<15 lakhs,2,"Yes, in <10 years"
98,30,Rewari,Working Professional,Single,Post Graduate,4,1892771.790267725,Yes,Sedan,Yes,Hyundai,<25 lakhs,4,"Yes, in <20years"
99,25,Faridabad ,None,Married,Graduate,4,2509936.9810018055,No,SUV,Yes,Maruti,<5 lakhs,3,"Yes, possibly after 20 years"
100,32,Pune,Business,Married,Graduate,4,2514285.2203147714,Maybe,Liftback,Yes,Hyundai,<15 lakhs,4,"Yes, in <20years"
101,25,Faridabad ,Working Professional,Single,Graduate,5,2352644.664501821,Yes,Liftback,Maybe,Tata,<5 lakhs,2,"Yes, in <10 years"
102,27,Pune,Business,Single,Post Graduate,4,1548857.9536897326,Yes,Hatchback,Yes,Tata,<15 lakhs,4,"Yes, in <20years"
103,26,Pune,None,Married,Graduate,4,1380123.3592345754,No,Sedan,No,Volkswagen,<15 lakhs,4,"Yes, in <10 years"
104,27,Pune,None,Married,Graduate,4,3215684.670720316,Maybe,Hatchback,Yes,Volkswagen,<15 lakhs,3,"Yes, in <20years"
105,27,New Delhi,None,Married,Post Graduate,4,3277243.101947077,Maybe,Hatchback,Yes,KIA,<5 lakhs,4,"Yes, possibly after 20 years"
106,27,Pune,Working Professional,Married,Post Graduate,4,2243850.938281071,Yes,SUV,Yes,Tata,<5 lakhs,4,"Yes, in <20years"
107,26,Pune,Working Professional,Single,Graduate,4,1707238.527880028,No,Hatchback,Yes,Tata,<15 lakhs,4,"Yes, in <10 years"
108,54,Pune,None,Single,Post Graduate,0,1802832.0386919598,Yes,Sedan,Yes,Nissan,<5 lakhs,4,"Yes, in <20years"
109,30,Pune,None,Single,Post Graduate,8,1333836.9955989164,Maybe,SUV,Yes,Honda,<15 lakhs,4,"Yes, in <20years"
110,27,Pune,Working Professional,Single,Post Graduate,7,3182520.21226067,Yes,SUV,Yes,Honda,<5 lakhs,2,"Yes, possibly after 20 years"
111,32,Serampore,Working Professional,Single,Graduate,5,2233912.725887149,Yes,Sedan,Yes,MG,<5 lakhs,4,"Yes, in <10 years"
112,27,Chandrapur ,Working Professional,Single,Graduate,3,2293527.401306704,Maybe,SUV,Yes,KIA,<25 lakhs,2,"Yes, in <20years"
113,26,Nabha,Working Professional,Married,Post Graduate,8,1689235.4096364176,Yes,SUV,Yes,KIA,<15 lakhs,4,I don't think so
114,28,Pune,Working Professional,Single,Graduate,5,3298816.59782215,Maybe,Liftback,Maybe,Hyundai,>25 lakhs,4,"Yes, in <20years"
115,32,New Delhi,Working Professional,Single,Graduate,4,2894136.5660437364,Yes,SUV,Maybe,Hyundai,<25 lakhs,2,"Yes, in <10 years"
116,42,solapur,None,Married,Graduate,3,2954630.247623304,Yes,Hatchback,Yes,Maruti Suzuki,<25 lakhs,2,"Yes, in <10 years"
117,28,Pune,None,Married,Post Graduate,5,2782366.1525798123,Yes,Hatchback,Yes,Tata,<15 lakhs,4,"Yes, in <10 years"
118,49,Pune,None,Married,Post Graduate,4,1986902.262294292,No,Sedan,Maybe,Nissan,<15 lakhs,2,"Yes, in <20years"
119,57,Rewari,None,Married,Graduate,1,2290556.4039083617,Yes,SUV,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
120,28,Pune,Working Professional,Married,Graduate,4,2990074.387334324,Maybe,Sedan,Yes,MG,<5 lakhs,4,"Yes, possibly after 20 years"
121,46,Pune,Working Professional,Married,Post Graduate,8,2103710.060093149,Maybe,Sedan,Yes,Honda,<5 lakhs,4,"Yes, in <10 years"
122,31,Pune,Working Professional,Single,Graduate,4,2220085.5794176077,Yes,SUV,Yes,Honda,<25 lakhs,2,"Yes, in <20years"
123,30,Karnal,Working Professional,Single,Post Graduate,7,1145157.904100487,Maybe,Hatchback,Yes,Maruti,<15 lakhs,4,"Yes, in <20years"
124,28,Kashipur ,Working Professional,Single,Graduate,4,3052394.20963913,Yes,Sedan,Yes,Nissan,<25 lakhs,4,"Yes, in <20years"
125,29,Pune,None,Single,Graduate,4,1966697.6232993547,Maybe,Sedan,Yes,Nissan,<25 lakhs,4,"Yes, in <20years"
126,28,Hakdwani,Working Professional,Married,Graduate,3,1705359.0822926883,Yes,Sedan,Maybe,Hyundai,<15 lakhs,2,"Yes, in <20years"
127,28,Mumbai,Working Professional,Single,Post Graduate,4,2594357.957423382,Yes,SUV,Yes,Tata,<15 lakhs,2,"Yes, in <10 years"
128,23,pune,Working Professional,Married,Graduate,4,2057505.4505437464,Yes,Sedan,Yes,MG,<5 lakhs,4,"Yes, in <20years"
129,36,Pune,None,Single,Graduate,3,1643602.1428610662,Yes,SUV,Yes,Tata,<15 lakhs,2,"Yes, in <20years"
130,26,Pune,Working Professional,Single,Graduate,4,2975936.320791319,Maybe,Sedan,Maybe,Volkswagen,<15 lakhs,3,"Yes, in <10 years"
131,28,Chennai,None,Single,Post Graduate,6,1432375.113410468,Maybe,Liftback,Yes,Nissan,<15 lakhs,4,I don't think so
132,24,Pune,None,Single,Graduate,6,1558491.3476201084,Maybe,SUV,Yes,Maruti Suzuki,<15 lakhs,4,"Yes, in <20years"
133,26,Pune,None,Married,Post Graduate,4,1246358.513677652,Maybe,SUV,Maybe,KIA,<15 lakhs,4,"Yes, in <20years"
134,28,New Delhi,None,Single,Graduate,8,2943517.98066833,Yes,SUV,Yes,Honda,<25 lakhs,2,"Yes, in <10 years"
135,55,Nabha,None,Single,Post Graduate,4,2818410.5709205046,Yes,SUV,Yes,Tata,<5 lakhs,2,"Yes, in <10 years"
136,29,Pune,None,Single,Post Graduate,3,2109425.808691422,Maybe,Hatchback,Yes,Maruti,2000000,4,"Yes, in <20years"
137,25,Pune,Business,Married,Graduate,4,2369845.814089776,Yes,SUV,No,KIA,<5 lakhs,4,"Yes, in <20years"
138,59,Pune,None,Married,Graduate,1,2900968.272892682,Yes,SUV,Maybe,KIA,<15 lakhs,4,"Yes, in <20years"
139,26,Pune,Working Professional,Married,Post Graduate,4,2009312.2402259037,Yes,SUV,No,Honda,<25 lakhs,4,"Yes, in <10 years"
140,31,Pune ,Working Professional,Single,Graduate,4,2697914.4809427,Yes,Sedan,Yes,MG,<15 lakhs,3,I don't think so
141,21,Banglore ,Business,Single,Post Graduate,4,3060007.2220230293,Maybe,SUV,Yes,Hyundai,<15 lakhs,4,"Yes, in <20years"
142,31,Delhi,Business,Married,Graduate,4,1909959.4639073955,Yes,Sedan,No,KIA,<15 lakhs,3,"Yes, in <10 years"
143,28,Noida,None,Single,Post Graduate,4,1900331.0485912468,Yes,SUV,Yes,Maruti,<15 lakhs,3,"Yes, in <20years"
144,31,Pune,Working Professional,Married,Graduate,4,3131824.8926783884,No,Liftback,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
145,29,Pune,Working Professional,Single,Post Graduate,4,2623831.952579079,Yes,Hatchback,Yes,Volkswagen,<15 lakhs,4,"Yes, in <20years"
146,32,Pune,Working Professional,Married,Graduate,4,3036462.943577803,Yes,SUV,Yes,Honda,<5 lakhs,4,"Yes, possibly after 20 years"
147,55,Pune,None,Married,Graduate,3,2402540.261419828,No,Liftback,Yes,Tata,<15 lakhs,4,"Yes, in <20years"
148,21,Satara,None,Single,Graduate,3,2859052.982815692,Yes,Sedan,Yes,McLaren ,<15 lakhs,4,"Yes, in <20years"
149,30,Pune,None,Married,Graduate,5,11248707.642195571,Yes,Hatchback,Yes,KIA,<15 lakhs,2,"Yes, possibly after 20 years"
150,28,Nagpur,None,Married,Graduate,6,2651315.550173232,Yes,Hatchback,Yes,Honda,<25 lakhs,2,"Yes, in <20years"
151,26,Pune,Working Professional,Married,Graduate,4,10302893.096646309,Yes,Sedan,No,MG,<5 lakhs,4,"Yes, in <10 years"
152,30,Pune,None,Married,Graduate,4,2624201.1935620606,Yes,Liftback,Yes,Nissan,<15 lakhs,2,"Yes, in <10 years"
153,21,Pune,None,Single,Graduate,5,2576937.2996111573,Yes,Cabrio,Yes,Nissan,<5 lakhs,4,"Yes, in <10 years"
154,20,Pune,None,Single,Graduate,4,1568688.111055134,Yes,SUV,Yes,Honda,<5 lakhs,2,"Yes, in <10 years"
155,64,Pune,None,Married,Post Graduate,4,2482846.581632028,Yes,Liftback,Yes,Honda,<15 lakhs,3,"Yes, in <20years"
156,31,Pune,Working Professional,Married,Post Graduate,5,2462782.8411630373,Yes,Sedan,Yes,KIA,<15 lakhs,4,"Yes, in <20years"
157,59,New Delhi,Working Professional,Single,Post Graduate,4,2350565.4754143613,Yes,SUV,Yes,Tata,<15 lakhs,4,"Yes, in <20years"
158,27,Haldwani ,None,Married,Graduate,4,2661203.6020929855,Yes,SUV,Maybe,KIA,<5 lakhs,2,"Yes, in <20years"
159,27,Pune,Working Professional,Single,Graduate,8,1620847.0683538155,Maybe,SUV,Yes,Tata,<15 lakhs,4,"Yes, in <20years"
160,27,Nagpur,Working Professional,Married,Post Graduate,5,3036768.8476038496,Maybe,Hatchback,Yes,KIA,<15 lakhs,2,"Yes, in <20years"
161,19,Pune,Working Professional,Single,Graduate,3,2841295.875494644,Yes,Liftback,Yes,Volkswagen,<5 lakhs,4,"Yes, in <10 years"
162,25,Pune,None,Single,Graduate,3,2950772.9820261514,Yes,Hatchback,Yes,KIA,1500000,4,"Yes, in <20years"
163,65,Pune ,Salaried,Single,Graduate,4,2537528.985113265,Yes,Sedan,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
164,22,Delhi,None,Single,Graduate,5,995142.2393794041,Yes,SUV,Yes,KIA,>25 lakhs,2,"Yes, in <10 years"
165,24,Pune,None,Single,Graduate,7,3052580.4771909667,No,SUV,No,Nissan,<15 lakhs,4,"Yes, in <10 years"
166,29,Pune,None,Single,Post Graduate,3,2934963.2989648976,Maybe,SUV,Yes,KIA,<15 lakhs,2,"Yes, possibly after 20 years"
167,32,Pune,None,Single,Post Graduate,5,2329694.076444884,Maybe,SUV,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
168,29,Delhi,None,Married,Graduate,4,2595400.995820563,Yes,Sedan,Yes,Nissan,<15 lakhs,4,"Yes, in <20years"
169,26,pune,Salaried,Single,Graduate,4,2406220.5428961846,Maybe,Liftback,Yes,Maruti,<15 lakhs,2,"Yes, in <20years"
170,25,Pune,Business,Single,Graduate,5,1873086.0501481001,Yes,Liftback,Yes,Nissan,<15 lakhs,4,"Yes, in <10 years"
171,29,New Delhi,Working Professional,Single,Graduate,4,2783844.164641048,No,Liftback,Yes,McLaren ,<25 lakhs,4,"Yes, in <20years"
172,26,Pune,Working Professional,Single,Post Graduate,5,551705.4973149671,Maybe,Liftback,Yes,Honda,<25 lakhs,3,I don't think so
173,30,Banglore ,Business,Single,Graduate,4,2909361.392949465,Yes,SUV,Yes,Tata,<15 lakhs,4,"Yes, possibly after 20 years"
174,31,Jhansi,Working Professional,Married,Post Graduate,4,2233024.3614297174,Maybe,SUV,Yes,Tata,<5 lakhs,4,"Yes, in <20years"
175,27,Noida,Working Professional,Single,Graduate,5,2341055.348977594,Yes,Liftback,Yes,Hyundai,<15 lakhs,2,"Yes, possibly after 20 years"
176,30,Pune,None,Married,Graduate,4,2754972.2449081275,Yes,SUV,Yes,KIA,<15 lakhs,3,"Yes, in <20years"
177,30,Pune ,Working Professional,Single,Post Graduate,4,1452583.87005627,Yes,Sedan,Yes,Hyundai,<15 lakhs,4,"Yes, in <10 years"
178,25,Pune,Working Professional,Single,Graduate,5,2272881.8742037425,Yes,Sedan,Yes,Chevrolet ,<25 lakhs,4,"Yes, possibly after 20 years"
179,26,Pune,Working Professional,Single,Graduate,4,3047228.129998085,No,Hatchback,Yes,Honda,<15 lakhs,4,"Yes, in <10 years"
180,30,Pune,Working Professional,Married,Post Graduate,4,2495424.2830965063,Yes,SUV,Yes,Tata,<15 lakhs,2,"Yes, in <10 years"
181,24,Pune,None,Married,Graduate,5,1608558.538279598,Yes,Cabrio,Yes,Hyundai,<5 lakhs,2,"Yes, possibly after 20 years"
182,28,Pune,Business,Single,Post Graduate,5,1885897.03525065,No,SUV,Yes,Maruti,<15 lakhs,2,"Yes, in <10 years"
183,29,Pune,None,Married,Graduate,4,1852575.4322607368,Maybe,SUV,Yes,Nissan,<15 lakhs,4,"Yes, in <10 years"
184,29,Mumbai,None,Single,Post Graduate,2,2468341.5200974224,Yes,SUV,Yes,Tata,<15 lakhs,4,"Yes, in <10 years"
185,30,Mumbai,None,Single,Graduate,4,824498.5194966414,Yes,SUV,Yes,MG,<25 lakhs,4,"Yes, possibly after 20 years"
186,27,Pune,None,Married,Graduate,0,2659291.215298729,No,Liftback,Yes,Tata,<15 lakhs,4,"Yes, possibly after 20 years"
187,32,Chennai,None,Married,Graduate,4,2178185.4872156275,Yes,SUV,Yes,Honda,<15 lakhs,4,"Yes, in <20years"
188,30,Pune,Working Professional,Single,Post Graduate,4,2307006.269379484,Yes,Sedan,No,Tata,<15 lakhs,4,"Yes, possibly after 20 years"
189,17,Pune,None,Single,Post Graduate,1,2898850.3030207157,Yes,Sedan,Yes,Nissan,<5 lakhs,4,"Yes, in <10 years"
190,30,Pune,Working Professional,Single,Graduate,5,1292857.5914136549,No,Liftback,Yes,Honda,<5 lakhs,4,I don't think so
191,27,Satara,Business,Married,Graduate,5,3270710.261684519,Yes,SUV,Yes,Hyundai,<5 lakhs,2,"Yes, in <10 years"
192,60,Faridabad ,None,Married,Graduate,3,2664116.503180948,Maybe,SUV,Yes,Honda,<25 lakhs,3,"Yes, possibly after 20 years"
193,26,Pune,Working Professional,Single,Graduate,3,2717785.3656184706,No,Sedan,Yes,Volkswagen,<15 lakhs,4,"Yes, in <20years"
